file_name,time_d4,solutions_d4,memory_d4,time_gpmc,solutions_gpmc,memory_gpmc,time_addmc,solutions_addmc,memory_addmc,time_sharpsat,solutions_sharpsat,memory_sharpsat,time_ganak,solutions_ganak,memory_ganak,time_ganak_no,solutions_ganak_no,memory_ganak_no,time_approxmc,solutions_approxmc,memory_approxmc,time_approxmc_no,solutions_approxmc_no,memory_approxmc_no
or-60-20-6-UC-30.txt.gz.no_w.txt,0.432577,12.090517731694424,548.0,0.01,12.090517731694424,42.0,0.024,12.090519045099615,-1.0,28.8714,18.06179973983887,234337.0,0.166659,12.090517731694424,-1.0,0.162018,12.090517731694424,-1.0,0.05,12.115833444856152,7.90234375,0.02,12.09235234900663,6.74609375
12B-5.txt.gz.no_w.txt,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,
or-70-10-7-UC-30.txt.gz.no_w.txt,0.044405,10.255951576457036,548.0,0.01,10.255951576457036,42.0,0.027,10.255952367371792,-1.0,736.904,21.072099696478684,117532.0,0.015652,10.255951576457036,-1.0,0.015804,10.255951576457036,-1.0,0.03,10.2549146812923,7.04296875,0.01,10.420065954283968,6.734375
prod-24.txt.gz.no_w.txt,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,219.62,240.52296653552096,805.6015625,140.4,240.52296653552096,238.5234375
or-50-20-3-UC-30.txt.gz.no_w.txt,0.005579,8.76657691993759,548.0,0.01,8.76657691993759,42.0,0.012,8.766577163764207,-1.0,2.40632,15.05149978319906,92582.0,0.006772,8.76657692,-1.0,0.006804,8.76657692,-1.0,0.02,8.768787940285824,6.7109375,0.01,8.82677988726351,6.57421875
s38584_15_7.txt.gz.no_w.txt,100000.0,,,18.11,440.40688365640455,98.0,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,
brp.pm_14steps_12int_8fract_p1_N=800_MAX=4over.dimacs.gz.no_w.txt,100000.0,,,0.17,-1.0,39.0,100000.0,,,0.218359,-1.0,148480.0,100000.0,,,100000.0,,,0.1606,-1.0,,0.2616,-1.0,
blasted_case137.txt.gz.no_w.txt,0.000768,5.418539921951662,548.0,0.01,5.418539921951662,42.0,100000.0,,,0.004127,5.418539921951662,125693.0,0.00245,5.418539921951662,-1.0,0.005269,5.418539921951662,-1.0,0.01,5.418539921951662,,0.0,5.418539921951662,
or-50-10-5-UC-30.txt.gz.no_w.txt,0.087852,10.34627974012305,548.0,0.0,10.34627974012305,42.0,0.012,10.34628058600445,-1.0,2.65289,15.05149978319906,165273.0,0.025801,10.34627974012305,-1.0,0.02318,10.34627974012305,-1.0,0.02,10.353119164653355,6.5,0.0,10.353119164653355,6.53125
leader_sync4_11.pm_5steps_7int_18fract_elected_neg_over.dimacs.gz.no_w.txt,100000.0,,,7.82,54532.05817440522,84.0,100000.0,,,100000.0,,,100000.0,,,100000.0,,,6.78,106.73156634466515,265.48828125,5.95,106.7918622465524,265.44140625
or-70-10-3-UC-30.txt.gz.no_w.txt,0.001053,7.342819208013543,548.0,0.01,7.342819208013543,42.0,0.022,7.342819286904106,-1.0,472.388,21.072099696478684,114113.0,0.006433,7.342819208013543,-1.0,0.006589,7.342819208013543,-1.0,0.01,7.342819208013543,6.57421875,0.0,7.342819208013543,6.44140625
90-14-1-q.txt.gz.no_w.txt,0.015526,218.8551224386317,549.0,0.03,218.8551224386317,42.0,0.074,218.85512223391424,-1.0,0.027664,218.8551224386317,117361.0,0.016253,203.20156266410467,-1.0,0.015722,203.20156266410467,-1.0,0.07,218.86870167643127,8.39453125,0.03,218.8207781241141,7.93359375
or-100-20-1-UC-10.txt.gz.no_w.txt,100000.0,,,0.02,26.260611276224378,42.0,0.034,26.26061034218113,-1.0,100000.0,,,100000.0,,,100000.0,,,0.06,26.240762145213747,7.63671875,0.03,26.297243501166196,6.71484375
or-50-5-10-UC-30.txt.gz.no_w.txt,0.000522,3.9133899436317554,548.0,0.0,3.9133899436317554,20.0,100000.0,,,1.80165,15.05149978319906,121022.0,0.007273,3.9133899436317554,-1.0,0.0059,3.9133899436317554,-1.0,0.01,3.9133899436317554,,0.01,3.9133899436317554,
90-21-1-q.txt.gz.no_w.txt,0.444695,505.7303927154885,550.0,0.05,505.7303927154885,43.0,100000.0,,,0.128658,505.7303927154885,165297.0,0.134407,505.7303927154885,-1.0,0.136317,505.7303927154885,-1.0,0.13,505.7303927154885,9.6328125,0.05,505.7303927154885,9.62109375
or-70-5-8-UC-30.txt.gz.no_w.txt,0.000772,6.572354786296191,548.0,0.0,6.572354786296191,42.0,0.018,6.572354553776553,-1.0,431.913,21.072099696478684,134461.0,0.0057,6.572354786296191,-1.0,0.005626,6.572354786296191,-1.0,0.01,6.572354786296191,6.56640625,0.0,6.572354786296191,6.56640625
90-17-1-q.txt.gz.no_w.txt,0.03342,327.04689376834324,549.0,0.03,327.04689376834324,43.0,100000.0,,,0.045851,327.04689376834324,133099.0,0.021081,324.6386538030314,-1.0,0.019134,324.6386538030314,-1.0,0.12,327.04689376834324,9.42578125,0.04,327.0855231706994,8.59765625
Segmentation_18.uai.txt_no_w.txt,100000.0,,,2832.23,531.0169123512628,5930.0,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,
leader_sync3_64.pm_4steps_7int_6fract_elected_under.dimacs.gz.no_w.txt,432.92347,28539.148632881865,2679.0,5.52,28539.148632881865,94.0,100000.0,,,473.677,28539.148632881865,136781.0,100000.0,,,100000.0,,,5.6,21.674159687806647,134.0546875,4.72,21.674159687806647,133.49609375
